controller,k,t,reference,y,u,predicted_y0,stage_qp_cost,solve_time_sec,qp_status
linear,133,2.66,0.6,0.5990833991207573,0.5990833475507142,0.5993741356712315,0.27697263326323196,0.03625562498928048,optimal
linear,134,2.68,0.6,0.5990833967901754,0.5990834439398669,0.5993741356716873,0.2769726332632135,0.03619908299879171,optimal
linear,135,2.7,0.6,0.5990833945481407,0.599083483507376,0.5993741307495345,0.2769726213671123,0.036186916986480355,optimal
linear,136,2.72,0.6,0.5990833926656851,0.5990835230320061,0.5993741381332313,0.27697263921125465,0.03665900000487454,optimal
linear,137,2.74,0.6,0.5990833912910981,0.599083538160626,0.5993741356721329,0.27697263326320565,0.05209370801458135,optimal
linear,138,2.7600000000000002,0.6,0.5990833905166485,0.599083540190354,0.5993741332109725,0.27697262731515776,0.03657520798151381,optimal
linear,139,2.7800000000000002,0.6,0.5990833903552976,0.5990835290936781,0.59937412828858,0.2769726154190646,0.036122624995186925,optimal
linear,140,2.8000000000000003,0.6,0.5990833907656961,0.5990833412593596,0.5993741733131065,0.27697260647877525,0.03603841701988131,optimal
linear,141,2.82,0.6,0.5990833913316274,0.5990832404059183,0.5993741733126295,0.2769726064787541,0.036126332997810096,optimal
linear,142,2.84,0.6,0.5990833914801195,0.5990831984414093,0.599374178234771,0.2769726183748554,0.03600833300151862,optimal
linear,143,2.86,0.6,0.5990833909478226,0.5990833699722038,0.5993741381325075,0.2769726392112779,0.03595912500168197,optimal
linear,144,2.88,0.6,0.5990833900202408,0.5990834559785847,0.5993741356717442,0.27697263326321164,0.035743917018407956,optimal
linear,145,2.9,0.6,0.5990833892201324,0.5990834899712968,0.5993741307495651,0.27697262136711187,0.05102504100068472,optimal
linear,146,2.92,0.6,0.5990833887801387,0.5990835021296776,0.5993741282884526,0.27697261541906437,0.03614262500195764,optimal
linear,147,2.94,0.6,0.5990833887780291,0.5990835147510949,0.5993741307496823,0.27697262136711087,0.03556987500633113,optimal
